voyageid,departure,purchase,arrival,year,embarked,disembarked
81127.0,Liverpool,"Windward Coast, port unspecified","St. Vincent, port unspecified",1792.0,203.0,194.0
82272.0,Liverpool,"Windward Coast, port unspecified",Saint John (Antigua),1788.0,96.0,89.0
82273.0,Liverpool,"Windward Coast, port unspecified","Barbados, port unspecified",1789.0,99.0,92.0
81692.0,Liverpool,"Windward Coast, port unspecified","Martinique, port unspecified",1800.0,193.0,179.0
78307.0,London,"Windward Coast, port unspecified","Americas, port unspecified",1731.0,148.0,131.0
79002.0,Whitehaven,"Windward Coast, port unspecified","Barbados, port unspecified",1768.0,200.0,171.0
79014.0,Lancaster,"Windward Coast, port unspecified","Grenada, port unspecified",1771.0,171.0,151.0
79019.0,Lancaster,"Windward Coast, port unspecified",Charleston,1772.0,139.0,123.0
79029.0,Lancaster,"Windward Coast, port unspecified",NA,1773.0,171.0,NA
79033.0,Lancaster,"Windward Coast, port unspecified","Grenada, port unspecified",1774.0,180.0,160.0
80045.0,Liverpool,"Windward Coast, port unspecified",Demerara,1805.0,270.0,243.0
80046.0,Liverpool,"Windward Coast, port unspecified",Demerara,1806.0,246.0,221.0
80056.0,Liverpool,"Windward Coast, port unspecified",Basse-Terre,1806.0,183.0,160.0
80071.0,Liverpool,"Windward Coast, port unspecified","St. Vincent, port unspecified",1788.0,305.0,279.0
80283.0,Liverpool,"Windward Coast, port unspecified",NA,1807.0,99.0,NA
80350.0,Liverpool,"Windward Coast, port unspecified",Demerara,1802.0,175.0,161.0
80502.0,Liverpool,"Windward Coast, port unspecified","Barbados, port unspecified",1793.0,240.0,205.0
75881.0,London,"Windward Coast, port unspecified",Charleston,1764.0,515.0,420.0
75882.0,London,"Windward Coast, port unspecified",Charleston,1765.0,319.0,260.0
75886.0,London,"Windward Coast, port unspecified",York River,1726.0,191.0,163.0
76028.0,London,"Windward Coast, port unspecified",York River,1726.0,159.0,141.0
76747.0,London,"Windward Coast, port unspecified",NA,1731.0,172.0,NA
76774.0,London,"Windward Coast, port unspecified","Barbados, port unspecified",1732.0,240.0,197.0
77655.0,London,"Windward Coast, port unspecified",Charleston,1755.0,278.0,227.0
77694.0,London,"Windward Coast, port unspecified","Jamaica, port unspecified",1759.0,428.0,350.0
77866.0,Whitehaven,"Windward Coast, port unspecified",Kingston,1768.0,199.0,170.0
77878.0,London,"Windward Coast, port unspecified",Savannah,1768.0,102.0,92.0
78067.0,London,"Windward Coast, port unspecified",Charleston,1772.0,161.0,138.0
78095.0,London,"Windward Coast, port unspecified","Grenada, port unspecified",1773.0,352.0,288.0
82788.0,Lancaster,"Windward Coast, port unspecified","Grenada, port unspecified",1787.0,225.0,206.0
82833.0,Liverpool,"Windward Coast, port unspecified","Grenada, port unspecified",1788.0,356.0,326.0
83059.0,Liverpool,"Windward Coast, port unspecified",Montego Bay,1806.0,303.0,272.0
83257.0,London,"Windward Coast, port unspecified",Kingston,1795.0,521.0,518.0
90133.0,Liverpool,"Windward Coast, port unspecified",Kingston,1753.0,187.0,160.0
90134.0,Liverpool,"Windward Coast, port unspecified",Kingston,1755.0,222.0,190.0
90145.0,Liverpool,"Windward Coast, port unspecified","Barbados, port unspecified",1753.0,355.0,290.0
90146.0,Liverpool,"Windward Coast, port unspecified",Kingston,1754.0,267.0,218.0
90224.0,Liverpool,"Windward Coast, port unspecified",Kingston,1755.0,234.0,200.0
90233.0,Liverpool,"Windward Coast, port unspecified",NA,1748.0,240.0,NA
90260.0,Liverpool,"Windward Coast, port unspecified",Kingston,1753.0,210.0,180.0
90263.0,Liverpool,"Windward Coast, port unspecified",Kingston,1756.0,178.0,160.0
90265.0,Liverpool,"Windward Coast, port unspecified","Barbados, port unspecified",1750.0,172.0,153.0
90269.0,Liverpool,"Windward Coast, port unspecified","Barbados, port unspecified",1751.0,122.0,108.0
90270.0,Liverpool,"Windward Coast, port unspecified","Virginia, port unspecified",1752.0,148.0,131.0
90274.0,Liverpool,"Windward Coast, port unspecified",Kingston,1752.0,352.0,301.0
90302.0,Liverpool,"Windward Coast, port unspecified","Barbados, port unspecified",1752.0,183.0,149.0
90329.0,Liverpool,"Windward Coast, port unspecified",Kingston,1752.0,297.0,254.0
90331.0,Liverpool,"Windward Coast, port unspecified",Kingston,1755.0,238.0,204.0
90339.0,Liverpool,"Windward Coast, port unspecified",Basse-Terre,1761.0,171.0,151.0
90349.0,Liverpool,"Windward Coast, port unspecified",Kingston,1755.0,222.0,190.0
90350.0,Liverpool,"Windward Coast, port unspecified",Saint John (Antigua),1751.0,156.0,146.0
90368.0,Liverpool,"Windward Coast, port unspecified","Barbados, port unspecified",1752.0,130.0,111.0
90369.0,Liverpool,"Windward Coast, port unspecified","Barbados, port unspecified",1754.0,96.0,82.0
90370.0,Liverpool,"Windward Coast, port unspecified","North Carolina, port unspecified",1755.0,230.0,197.0
90373.0,Liverpool,"Windward Coast, port unspecified",Kingston,1752.0,174.0,149.0
90397.0,Liverpool,"Windward Coast, port unspecified",Kingston,1752.0,184.0,150.0
90402.0,Liverpool,"Windward Coast, port unspecified","Barbados, port unspecified",1752.0,168.0,144.0
90418.0,Liverpool,"Windward Coast, port unspecified","St. Kitts, port unspecified",1753.0,207.0,167.0
90426.0,Liverpool,"Windward Coast, port unspecified","Barbados, port unspecified",1755.0,101.0,90.0
90428.0,Liverpool,"Windward Coast, port unspecified","Martinique, port unspecified",1756.0,176.0,156.0
90431.0,Liverpool,"Windward Coast, port unspecified",NA,1752.0,83.0,65.0
90455.0,Liverpool,"Windward Coast, port unspecified","Barbados, port unspecified",1754.0,143.0,122.0
90480.0,Liverpool,"Windward Coast, port unspecified",NA,1755.0,352.0,288.0
90482.0,Liverpool,"Windward Coast, port unspecified",Saint John (Antigua),1755.0,230.0,197.0
90494.0,Liverpool,"Windward Coast, port unspecified","Jamaica, port unspecified",1755.0,230.0,197.0
90495.0,Liverpool,"Windward Coast, port unspecified","Barbados, port unspecified",1758.0,393.0,336.0
90498.0,Liverpool,"Windward Coast, port unspecified",Kingston,1755.0,123.0,105.0
90511.0,Liverpool,"Windward Coast, port unspecified","St. Kitts, port unspecified",1755.0,175.0,150.0
90516.0,Liverpool,"Windward Coast, port unspecified",Kingston,1755.0,122.0,108.0
90531.0,Liverpool,"Windward Coast, port unspecified","St. Kitts, port unspecified",1754.0,102.0,92.0
90550.0,Liverpool,"Windward Coast, port unspecified",Kingston,1755.0,370.0,302.0
90554.0,Liverpool,"Windward Coast, port unspecified","Barbados, port unspecified",1756.0,131.0,116.0
90557.0,Liverpool,"Windward Coast, port unspecified",Kingston,1755.0,83.0,65.0
90559.0,Liverpool,"Windward Coast, port unspecified","Barbados, port unspecified",1760.0,190.0,95.0
90563.0,Liverpool,"Windward Coast, port unspecified","Barbados, port unspecified",1756.0,138.0,118.0
90570.0,Liverpool,"Windward Coast, port unspecified",Kingston,1755.0,116.0,103.0
90571.0,Liverpool,"Windward Coast, port unspecified",NA,1757.0,148.0,131.0
90572.0,Liverpool,"Windward Coast, port unspecified","Barbados, port unspecified",1755.0,29.0,26.0
90589.0,Liverpool,"Windward Coast, port unspecified",Kingston,1755.0,169.0,145.0
90590.0,Liverpool,"Windward Coast, port unspecified",Kingston,1756.0,246.0,211.0
90591.0,Liverpool,"Windward Coast, port unspecified","Jamaica, port unspecified",1758.0,317.0,271.0
90593.0,Liverpool,"Windward Coast, port unspecified","Jamaica, port unspecified",1761.0,148.0,127.0
90597.0,Liverpool,"Windward Coast, port unspecified",Kingston,1756.0,244.0,209.0
90605.0,Liverpool,"Windward Coast, port unspecified",Saint John (Antigua),1755.0,171.0,151.0
